id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data
2300,255,WAX,WAXP,wax,1,21/12/2017,26/04/2024
3987,256,Beldex,BDX,beldex,1,07/06/2019,26/04/2024
3217,257,Ontology Gas,ONG,ontology-gas,1,23/08/2018,26/04/2024
5864,258,yearn.finance,YFI,yearn-finance,1,20/07/2020,26/04/2024
5198,259,Creditcoin,CTC,creditcoin,1,31/01/2020,26/04/2024
27872,260,MAGA,TRUMP,maga,1,18/08/2023,26/04/2024
1214,261,Lisk,LSK,lisk,1,06/04/2016,26/04/2024
1772,262,Storj,STORJ,storj,1,02/07/2017,26/04/2024
7455,263,Audius,AUDIO,audius,1,22/10/2020,26/04/2024
4950,264,LCX,LCX,lcx,1,03/12/2019,26/04/2024
5617,265,UMA,UMA,uma,1,25/05/2020,26/04/2024
2545,266,Arcblock,ABT,arcblock,1,26/02/2018,26/04/2024
10903,267,Coin98,C98,coin98,1,23/07/2021,26/04/2024
29920,268,SLERF,SLERF,slerf,1,18/03/2024,26/04/2024
30315,269,Omni Network,OMNI,omni-network,1,17/04/2024,26/04/2024
23355,270,0x0.ai,0x0,0x0-ai-ai-smart-contract,1,31/01/2023,26/04/2024
4679,271,Band Protocol,BAND,band-protocol,1,18/09/2019,26/04/2024
8037,272,Vanar Chain,VANRY,vanar,1,16/12/2020,26/04/2024
9674,273,Wilder World,WILD,wilder-world,1,11/05/2021,26/04/2024
5728,274,Balancer,BAL,balancer,1,24/06/2020,26/04/2024
26680,275,Neutron,NTRN,neutron-ntrn,1,13/06/2023,26/04/2024
4279,276,Solar,SXP,sxp,1,26/08/2019,26/04/2024
4512,277,FINSCHIA,FNSA,finschia,1,05/03/2020,26/04/2024
7737,278,API3,API3,api3,1,29/11/2020,26/04/2024
11976,279,Aleph Zero,AZERO,aleph-zero,1,27/01/2022,26/04/2024
2405,280,IOST,IOST,iostoken,1,16/01/2018,26/04/2024
3814,281,Celer Network,CELR,celer-network,1,25/03/2019,26/04/2024
14783,282,Treasure,MAGIC,magic-token,1,18/11/2021,26/04/2024
1637,283,iExec RLC,RLC,rlc,1,20/04/2017,26/04/2024
28933,284,Xai,XAI,xai-games,1,09/01/2024,26/04/2024
23757,285,ATOR Protocol,ATOR,airtor-protocol,1,04/03/2023,26/04/2024
109,286,DigiByte,DGB,digibyte,1,06/02/2014,26/04/2024
22074,287,ALEX Lab,ALEX,alex-lab,1,11/10/2022,26/04/2024
17917,288,RSS3,RSS3,rss3,1,13/02/2022,26/04/2024
24007,289,Delysium,AGI,delysium,1,11/04/2023,26/04/2024
11396,290,JOE,JOE,joe,1,27/08/2021,26/04/2024
9040,291,Pundi X (New),PUNDIX,pundix-new,1,04/04/2021,26/04/2024
3992,292,COTI,COTI,coti,1,04/06/2019,26/04/2024
3701,293,Rootstock Infrastructure Framework,RIF,rsk-infrastructure-framework,1,16/01/2019,26/04/2024
21781,294,Stride,STRD,stride,1,07/12/2022,26/04/2024
11584,295,Braintrust,BTRST,braintrust,1,15/09/2021,26/04/2024
12147,296,Synapse,SYN,synapse-2,1,26/09/2021,26/04/2024
4120,297,Prom,PROM,prom,1,17/07/2019,26/04/2024
14519,298,VVS Finance,VVS,vvs-finance,1,22/11/2021,26/04/2024
11232,299,Highstreet,HIGH,highstreet,1,14/10/2021,26/04/2024
2499,300,SwissBorg,BORG,swissborg,1,03/02/2018,26/04/2024
24781,301,CyberConnect,CYBER,cyberconnect,1,15/08/2023,26/04/2024
14878,302,Alephium,ALPH,alephium,1,12/01/2022,26/04/2024
28675,303,Coq Inu,COQ,coq-inu,1,11/12/2023,26/04/2024
3626,304,Rootstock Smart Bitcoin,RBTC,rsk-smart-bitcoin,1,05/12/2018,26/04/2024
24600,305,Helium Mobile,MOBILE,helium-mobile,1,21/04/2023,26/04/2024
541,306,Syscoin,SYS,syscoin,1,20/08/2014,26/04/2024
5031,307,MimbleWimbleCoin,MWC,mimblewimblecoin,1,23/02/2020,26/04/2024
7497,308,Marlin,POND,marlin,1,20/12/2020,26/04/2024
5190,309,FLEX,FLEX,flex,1,24/02/2020,26/04/2024
30168,310,Stratis [New],STRAX,stratis-new,1,28/03/2024,26/04/2024
24613,311,Open Campus,EDU,open-campus,1,28/04/2023,26/04/2024
5446,312,USDJ,USDJ,usdj,1,14/04/2020,26/04/2024
1816,313,Civic,CVC,civic,1,17/07/2017,26/04/2024
30008,314,Apu Apustaja,APU,apu-apustaja,1,20/03/2024,26/04/2024
5824,315,Smooth Love Potion,SLP,smooth-love-potion,1,08/07/2020,26/04/2024
28230,316,Big Time,BIGTIME,big-time,1,11/10/2023,26/04/2024
7129,317,TerraClassicUSD,USTC,terrausd,1,24/11/2020,26/04/2024
2165,318,ERC20,ERC20,erc20,1,10/11/2017,26/04/2024
5370,319,Hive,HIVE,hive-blockchain,1,26/03/2020,26/04/2024
8972,320,Seedify.fund,SFUND,seedify-fund,1,29/03/2021,26/04/2024
30712,321,Merlin Chain,MERL,merlin-chain,1,19/04/2024,26/04/2024
13769,322,World Mobile Token,WMT,world-mobile-token,1,23/12/2021,26/04/2024
7288,323,Venus,XVS,venus,1,05/10/2020,26/04/2024
3801,324,BORA,BORA,bora,1,18/03/2019,26/04/2024
2930,325,IQ,IQ,iq,1,13/07/2018,26/04/2024
1732,326,Numeraire,NMR,numeraire,1,23/06/2017,26/04/2024
29676,327,Aevo,AEVO,aevo,1,13/03/2024,26/04/2024
9263,328,Unizen,ZCX,unizen,1,16/04/2021,26/04/2024
29555,329,Portal,PORTAL,portal-gaming,1,29/02/2024,26/04/2024
19091,330,H2O DAO,H2O,h2o-dao,1,26/03/2022,26/04/2024
1759,331,Status,SNT,status,1,28/06/2017,26/04/2024
