"id","rank","name","symbol","slug","is_active","first_historical_data","last_historical_data"
28782,220,"Popcat (SOL)","POPCAT","popcat-sol",1,2023-12-20,2024-04-26
17520,221,"Orbler","ORBR","orbler",1,2022-03-01,2024-04-26
15271,222,"Rollbit Coin","RLB","rollbit-coin",1,2022-03-23,2024-04-26
29743,223,"Brett","BRETT","based-brett",1,2024-03-11,2024-04-26
30096,224,"Degen","DEGEN","degen-base",1,2024-03-25,2024-04-26
22059,225,"Venom","VENOM","venom",1,2024-03-25,2024-04-26
24165,226,"Wrapped Kava","WKAVA","wrapped-kava",1,2023-03-30,2024-04-26
29599,227,"USDB","USDB","usdb",1,2024-03-01,2024-04-26
5015,228,"HEX","HEX","hex",1,2019-12-17,2024-04-26
21259,229,"ZetaChain","ZETA","zetachain",1,2024-02-01,2024-04-26
15585,230,"GuildFi","GF","guildfi",1,2021-12-05,2024-04-26
27772,231,"PayPal USD","PYUSD","paypal-usd",1,2023-08-20,2024-04-26
1974,232,"Propy","PRO","propy",1,2017-09-19,2024-04-26
3945,233,"Harmony","ONE","harmony",1,2019-06-01,2024-04-26
6958,234,"Alchemy Pay","ACH","alchemy-pay",1,2020-09-09,2024-04-26
30484,235,"PUPS (Ordinals)","PUPS","pups-ordinals",1,2024-04-09,2024-04-26
6836,236,"Moonbeam","GLMR","moonbeam",1,2022-01-11,2024-04-26
1274,237,"Waves","WAVES","waves",1,2016-06-02,2024-04-26
6941,238,"Huobi BTC","HBTC","huobi-btc",1,2020-09-09,2024-04-26
3012,239,"VeThor Token","VTHO","vethor-token",1,2018-07-30,2024-04-26
2394,240,"Telcoin","TEL","telcoin",1,2018-01-15,2024-04-26
3978,241,"Chromia","CHR","chromia",1,2019-05-28,2024-04-26
27178,242,"PAAL AI","PAAL","paal-ai",1,2023-06-23,2024-04-26
11857,243,"GMX","GMX","gmx",1,2021-09-13,2024-04-26
28367,244,"IPVERSE","IPV","ipverse-eth",1,2023-11-07,2024-04-26
11823,245,"Pocket Network","POKT","pocket-network",1,2022-01-13,2024-04-26
5034,246,"Kusama","KSM","kusama",1,2019-12-12,2024-04-26
27659,247,"MOG Coin","MOG","mog-coin",1,2023-07-21,2024-04-26
5647,248,"Kadena","KDA","kadena",1,2020-05-31,2024-04-26
9903,249,"Convex Finance","CVX","convex-finance",1,2021-05-18,2024-04-26
15185,250,"Kujira","KUJI","kujira",1,2021-11-29,2024-04-26
6758,251,"SushiSwap","SUSHI","sushiswap",1,2020-08-28,2024-04-26
2099,252,"ICON","ICX","icon",1,2017-10-27,2024-04-26
9025,253,"Tribe","TRIBE","tribe",1,2021-04-03,2024-04-26
10442,254,"Decentralized Social","DESO","deso",1,2021-06-16,2024-04-26
2300,255,"WAX","WAXP","wax",1,2017-12-21,2024-04-26
3987,256,"Beldex","BDX","beldex",1,2019-06-07,2024-04-26
3217,257,"Ontology Gas","ONG","ontology-gas",1,2018-08-23,2024-04-26
5864,258,"yearn.finance","YFI","yearn-finance",1,2020-07-20,2024-04-26
5198,259,"Creditcoin","CTC","creditcoin",1,2020-01-31,2024-04-26
27872,260,"MAGA","TRUMP","maga",1,2023-08-18,2024-04-26
1214,261,"Lisk","LSK","lisk",1,2016-04-06,2024-04-26
1772,262,"Storj","STORJ","storj",1,2017-07-02,2024-04-26
7455,263,"Audius","AUDIO","audius",1,2020-10-22,2024-04-26
4950,264,"LCX","LCX","lcx",1,2019-12-03,2024-04-26
5617,265,"UMA","UMA","uma",1,2020-05-25,2024-04-26
2545,266,"Arcblock","ABT","arcblock",1,2018-02-26,2024-04-26
10903,267,"Coin98","C98","coin98",1,2021-07-23,2024-04-26
29920,268,"SLERF","SLERF","slerf",1,2024-03-18,2024-04-26
30315,269,"Omni Network","OMNI","omni-network",1,2024-04-17,2024-04-26
23355,270,"0x0.ai","0x0","0x0-ai-ai-smart-contract",1,2023-01-31,2024-04-26
